,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Raw content,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count,View Count,Hashtags,Media,Coordinates,Place,Informative/Not Informative
1372764,1372764,181341,2017-08-27 23:53:36+00:00,"9,01955891712418E+017",RT @ReutersBiz: #Harvey could cause fuel shortages in Latin America https://t.co/8V2URttqQa https://t.co/7UnrHmPK1E,RT @ReutersBiz: #Harvey could cause fuel shortages in Latin America reut.rs/2wgn9Ux https://t.co/7UnrHmPK1E,bikespoke,0,9,0,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIRj3mfXYAIfFkg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIRj3mfXYAIfFkg?format=jpg&name=orig', altText=None)]",,,1
844140,844140,233369,2017-08-26 21:51:38+00:00,"9,01562809535701E+017",RT @weatherchannel: Hurricane hunters perspective inside the eye of #Harvey https://t.co/oscwZbp27Z,RT @weatherchannel: Hurricane hunters perspective inside the eye of #Harvey https://t.co/oscwZbp27Z,MrCoolLooking75,0,681,0,0,,['Harvey'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/901450913050763264/pu/img/UG1x2vmCQvO1wz1o.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/901450913050763264/pu/pl/GtEx-W1kJrZfCkKL.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/901450913050763264/pu/vid/320x180/L1OIQ7Pxspjd9te2.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901450913050763264/pu/vid/1280x720/iKlsHDBuHyhtYSXw.mp4', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901450913050763264/pu/vid/640x360/-zkjhXuKYPjaJns4.mp4', contentType='video/mp4', bitrate=832000)], duration=45.0, views=60175, altText=None)]",,,1
2812640,2812640,453955,2017-08-30 19:28:06+00:00,"9,02976237118693E+017",How can scientists integrate emotion &amp; trauma around natural disasters into their work? Wrote about @onbeing https://t.co/4fLpKgZFil #Harvey https://t.co/LGSV1roJ8r,How can scientists integrate emotion &amp; trauma around natural disasters into their work? Wrote about @onbeing bit.ly/2gqlCHA #Harvey https://t.co/LGSV1roJ8r,frkearns,0,0,3,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIgCbmZV4AACfOJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIgCbmZV4AACfOJ?format=jpg&name=orig', altText=None)]",,,0
968345,968345,357574,2017-08-27 13:16:39+00:00,"9,01795596100674E+017",RT @MattSitkowski: This image and the forecast of what is still to fall.... This is surreal. #HoustonFlood #Harvey https://t.co/zK9WojsMAH,RT @MattSitkowski: This image and the forecast of what is still to fall.... This is surreal. #HoustonFlood #Harvey https://t.co/zK9WojsMAH,dgonzales1990,0,12551,0,0,,"['HoustonFlood', 'Harvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIPGDpPXYAUfz4A?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPGDpPXYAUfz4A?format=jpg&name=orig', altText=None)]",,,1
2145289,2145289,374510,2017-08-29 14:05:47+00:00,"9,02532739471204E+017",RT @AnonTVofficial: SHAME ON HIM FOR ABANDONING THE PEOPLE OF #HOUSTON #HurricaneHarvey https://t.co/nElhOgzfXn,RT @AnonTVofficial: SHAME ON HIM FOR ABANDONING THE PEOPLE OF #HOUSTON #HurricaneHarvey https://t.co/nElhOgzfXn,ginovigilante,0,248,0,0,,"['HOUSTON', 'HurricaneHarvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIZck5iXcAA9LGZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIZck5iXcAA9LGZ?format=jpg&name=orig', altText=None)]",,,0
3166442,3166442,807757,2017-08-31 20:14:23+00:00,"9,03350274441523E+017","Members of @VATF1 made 2 new friends yesterday evacuating the couple to safety from a flooded area of Kingwood, TX #Harvey #HurricaneHarvey https://t.co/GlaSC24e6P","Members of @VATF1 made 2 new friends yesterday evacuating the couple to safety from a flooded area of Kingwood, TX #Harvey #HurricaneHarvey https://t.co/GlaSC24e6P",ffxfirerescue,2,19,60,5,,"['Harvey', 'HurricaneHarvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIlYSLKXcAA4Mf9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIlYSLKXcAA4Mf9?format=jpg&name=orig', altText=None)]",,,1
2463508,2463508,104823,2017-08-30 01:00:28+00:00,"9,02697493506359E+017","WHITECAPS: This is the I-10 at the Jefferson / Chambers County line.  Who knows how deep that is. Stunning.

( 📷 - @DadePhelan ) #Harvey https://t.co/hI1NubmmG1","WHITECAPS: This is the I-10 at the Jefferson / Chambers County line.  Who knows how deep that is. Stunning.

( 📷 - @DadePhelan ) #Harvey https://t.co/hI1NubmmG1",Matt_Rodewald,8,18,13,3,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIcGk86UwAA7t0h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIcGk86UwAA7t0h?format=jpg&name=orig', altText=None)]",,,1
1813279,1813279,42500,2017-08-28 19:48:36+00:00,"9,02256624047358E+017","Release rate is now 73201 CFS, San Jac is over 60ft &amp; there are more road closures (incl Kingwood Dr) #houstonflood  https://t.co/K7fkjGfkC8 https://t.co/OQeqp40CPB","Release rate is now 73201 CFS, San Jac is over 60ft &amp; there are more road closures (incl Kingwood Dr) #houstonflood  kingwood.com/message_board/… https://t.co/OQeqp40CPB",TJSmithEsquire,0,0,0,0,,['houstonflood'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIV1nPVUQAAinF5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIV1nPVUQAAinF5?format=jpg&name=orig', altText=None)]",,,0
2071834,2071834,301055,2017-08-29 06:59:31+00:00,"9,02425462697337E+017","RT @_ttonthemic: Let us pray.
#HurricaneHarvey #PVAMU #TXSU #UH #RiceUniversity #Houston #Texas #PrayforTexas https://t.co/Wop2EkMgRo","RT @_ttonthemic: Let us pray.
#HurricaneHarvey #PVAMU #TXSU #UH #RiceUniversity #Houston #Texas #PrayforTexas https://t.co/Wop2EkMgRo",817Estafador,0,93,0,0,,"['HurricaneHarvey', 'PVAMU', 'TXSU', 'UH', 'RiceUniversity', 'Houston', 'Texas', 'PrayforTexas']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/902423052721430528/pu/img/NNGCRvyxVdU-YDQW.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/902423052721430528/pu/vid/480x480/Tyt_eb1fWrjHo3og.mp4', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/902423052721430528/pu/pl/JETXHQN1AOQm73YY.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/902423052721430528/pu/vid/240x240/Q5W-wN7mAnuw3VUd.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/902423052721430528/pu/vid/720x720/EaRIaHcDpLXu6ytf.mp4', contentType='video/mp4', bitrate=1280000)], duration=125.424, views=2350, altText=None)]",,,0
281295,281295,281295,2017-08-25 18:11:03+00:00,"9,01144910342042E+017",RT @Justin_Horne: Mandatory evacuation in Rockport. Businesses are closed and boarded up. #KSATnews #harvey https://t.co/ioxdxjqMuC,RT @Justin_Horne: Mandatory evacuation in Rockport. Businesses are closed and boarded up. #KSATnews #harvey https://t.co/ioxdxjqMuC,genarotijerinag,0,28,0,0,,"['KSATnews', 'harvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIBhGKNXYAEfhB4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIBhGKNXYAEfhB4?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIBhGKSW0AYyC4V?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIBhGKSW0AYyC4V?format=jpg&name=orig', altText=None)]",,,0
3185096,3185096,826411,2017-08-31 21:23:38+00:00,"9,03367703632667E+017",RT @michaelkeyes: Redneck Army saves National Guard. #thisisAmerica #HurricaneHarvey #HoustonStrong https://t.co/9gZS493ZeQ,RT @michaelkeyes: Redneck Army saves National Guard. #thisisAmerica #HurricaneHarvey #HoustonStrong https://t.co/9gZS493ZeQ,aspeitia_ramon,0,12762,0,0,,"['thisisAmerica', 'HurricaneHarvey', 'HoustonStrong']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/903220429623443456/pu/img/q7JKx3mpVoH-VGd1.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/903220429623443456/pu/vid/320x180/JW1-T52ATiUBcj7B.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/903220429623443456/pu/pl/jlpp6ILWBsHyOPTQ.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/903220429623443456/pu/vid/640x360/RND8If060G82gJHK.mp4', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/903220429623443456/pu/vid/1280x720/lvIAHc41lajyN6bd.mp4', contentType='video/mp4', bitrate=2176000)], duration=52.967, views=1244563, altText=None)]",,,0
1561597,1561597,370174,2017-08-28 08:25:05+00:00,"9,02084611605283E+017",RT @ChrChristensen: This is how bad things are in #Houston...and a lot more rain to come. #houstonflood https://t.co/wYfIQpaI8M,RT @ChrChristensen: This is how bad things are in #Houston...and a lot more rain to come. #houstonflood https://t.co/wYfIQpaI8M,MayaMonkeyface,0,3302,0,0,,"['Houston', 'houstonflood']","[Photo(previewUrl='https://pbs.twimg.com/media/DIPQKSKWAAA-mTO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPQKSKWAAA-mTO?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIPQKSCW4AAeJk8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPQKSCW4AAeJk8?format=jpg&name=orig', altText=None)]",,,1
1541605,1541605,350182,2017-08-28 06:01:56+00:00,"9,02048585835053E+017",DIRECT. Tempête #Harvey au Texas : Houston vit sa deuxième nuit sous les eaux  https://t.co/BVUf7PCewg https://t.co/Xq0igH8C3Y,DIRECT. Tempête #Harvey au Texas : Houston vit sa deuxième nuit sous les eaux  francetvinfo.fr/meteo/tempete/… https://t.co/Xq0igH8C3Y,TheDadGeeK,0,0,0,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIS3TVMXgAAR7lR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIS3TVMXgAAR7lR?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIS3TVHW0AA7nbO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIS3TVHW0AA7nbO?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIS3TVCXcAAzSaD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIS3TVCXcAAzSaD?format=jpg&name=orig', altText=None)]",,,1
2922118,2922118,563433,2017-08-31 00:38:59+00:00,"9,0305447475488E+017",RT @houstonpolice: HPD Air Support preparing to launch #HoustonStrong #HurricaneHarvey https://t.co/woa1OJbt8t,RT @houstonpolice: HPD Air Support preparing to launch #HoustonStrong #HurricaneHarvey https://t.co/woa1OJbt8t,billswitz,0,175,0,0,,"['HoustonStrong', 'HurricaneHarvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIZlzyLVAAA2_eW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIZlzyLVAAA2_eW?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIZlzyFVYAA5cP0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIZlzyFVYAA5cP0?format=jpg&name=orig', altText=None)]",,,0
1028068,1028068,417297,2017-08-27 15:17:26+00:00,"9,01825994536903E+017",RT @nycjim: Dog flees #HurricaneHarvey carrying a bag of dog food. https://t.co/I6h67V8TsB https://t.co/MONBw3NweQ,RT @nycjim: Dog flees #HurricaneHarvey carrying a bag of dog food. chron.com/news/houston-w… https://t.co/MONBw3NweQ,DZA13,0,397,0,0,,['HurricaneHarvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIM4ql-XcAATmLH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIM4ql-XcAATmLH?format=jpg&name=orig', altText=None)]",,,1
467184,467184,467184,2017-08-26 00:09:39+00:00,"9,01235152319328E+017","RT @dariusherron1: The differences in damage a category 1, 2, 3, 4, &amp; 5 hurricane can cause.  #hurricaneharvey

 https://t.co/sDP76piZ8N","RT @dariusherron1: The differences in damage a category 1, 2, 3, 4, &amp; 5 hurricane can cause.  #hurricaneharvey

 https://t.co/sDP76piZ8N",EmilyVazqz,0,11922,0,0,,['hurricaneharvey'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/784085228826533888/pu/img/NL3bqEm6ctLXsrNw.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/784085228826533888/pu/pl/x6yliP5Ard_W9Arm.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/784085228826533888/pu/vid/318x180/WqMNWQGiFLtvBkNN.mp4', contentType='video/mp4', bitrate=320000)], duration=85.533, views=1575028, altText=None)]",,,0
1235122,1235122,43699,2017-08-27 20:28:23+00:00,"9,01904244458086E+017",RT @MattSitkowski: This image and the forecast of what is still to fall.... This is surreal. #HoustonFlood #Harvey https://t.co/zK9WojsMAH,RT @MattSitkowski: This image and the forecast of what is still to fall.... This is surreal. #HoustonFlood #Harvey https://t.co/zK9WojsMAH,qveseXX,0,12551,0,0,,"['HoustonFlood', 'Harvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DIPGDpPXYAUfz4A?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPGDpPXYAUfz4A?format=jpg&name=orig', altText=None)]",,,1
296919,296919,296919,2017-08-25 18:56:51+00:00,"9,01156433747751E+017",Aviso de emergencia por alerta de tornado para el condado #Galveston hasta las 2:15 pm. vía @AnthonyElTiempo #Harvey #Harvey2017 https://t.co/UER2waSyMj,Aviso de emergencia por alerta de tornado para el condado #Galveston hasta las 2:15 pm. vía @AnthonyElTiempo #Harvey #Harvey2017 https://t.co/UER2waSyMj,Univision62,0,1,1,0,,"['Galveston', 'Harvey', 'Harvey2017']","[Photo(previewUrl='https://pbs.twimg.com/media/DIGM_9bU0AA3C-V?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIGM_9bU0AA3C-V?format=jpg&name=orig', altText=None)]",,,0
1649624,1649624,458201,2017-08-28 14:29:17+00:00,"9,02176262709404E+017",RT @6abc: Houston freeway signs nearly submerged amid extreme flooding from #Harvey https://t.co/om2Evyxwze https://t.co/uU265VBxqu,RT @6abc: Houston freeway signs nearly submerged amid extreme flooding from #Harvey 6abc.cm/2wfRZwK https://t.co/uU265VBxqu,Lily_Minster,0,43,0,0,,['Harvey'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/901844284558671873/pu/img/jy3zmot0Ia0Onv2c.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/901844284558671873/pu/pl/dYAygXYWN7_T0WfF.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/901844284558671873/pu/vid/240x240/F0e1KdwrO3K_KUxd.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901844284558671873/pu/vid/480x480/wUDPBwKMHOsJRtzq.mp4', contentType='video/mp4', bitrate=832000)], duration=10.816, views=7140, altText=None)]",,,1
247773,247773,247773,2017-08-25 16:26:50+00:00,"9,01118680242594E+017",#Harvey strengthening outer eyewall replacing inner.  Replacement cycles often followed by intensification. #txwx https://t.co/HKi1RRATWC,#Harvey strengthening outer eyewall replacing inner.  Replacement cycles often followed by intensification. #txwx https://t.co/HKi1RRATWC,MorganKIRO7,0,27,24,3,,"['Harvey', 'txwx']","[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/DIFqp9WUQAAke6G.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/DIFqp9WUQAAke6G.mp4', contentType='video/mp4', bitrate=0)], altText=None)]",,,1
1273634,1273634,82211,2017-08-27 21:23:31+00:00,"9,01918119727428E+017",RT @MariaAlesiaSosa: Impactantes imágenes de las inundaciones en #Houston tras el paso de #Harvey #TexasFlood #Texas https://t.co/Qf5KyyKZgv,RT @MariaAlesiaSosa: Impactantes imágenes de las inundaciones en #Houston tras el paso de #Harvey #TexasFlood #Texas https://t.co/Qf5KyyKZgv,Cabimenses,0,414,0,0,,"['Houston', 'Harvey', 'TexasFlood', 'Texas']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/901916854926626816/pu/img/96XRg-aUrRlADG2F.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/901916854926626816/pu/pl/WRrGl_v5fozFFyZ9.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/901916854926626816/pu/vid/180x320/_ZpaBDymLI4gtpPJ.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901916854926626816/pu/vid/362x640/nLWqZ69VI272coCS.mp4', contentType='video/mp4', bitrate=832000)], duration=33.267, views=46402, altText=None)]",,,1
1073496,1073496,462725,2017-08-27 16:34:58+00:00,"9,01845506409693E+017",RT @ChrChristensen: This is how bad things are in #Houston...and a lot more rain to come. #houstonflood https://t.co/wYfIQpaI8M,RT @ChrChristensen: This is how bad things are in #Houston...and a lot more rain to come. #houstonflood https://t.co/wYfIQpaI8M,rebelfever2,0,3302,0,0,,"['Houston', 'houstonflood']","[Photo(previewUrl='https://pbs.twimg.com/media/DIPQKSKWAAA-mTO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPQKSKWAAA-mTO?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DIPQKSCW4AAeJk8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIPQKSCW4AAeJk8?format=jpg&name=orig', altText=None)]",,,1
2055743,2055743,284964,2017-08-29 05:22:03+00:00,"9,02400936253018E+017","RT @DWinkle23: There's a hurricane going on right now, and yet there's still a line at Whataburger. #HurricaneHarvey https://t.co/7tyYVhyyr0","RT @DWinkle23: There's a hurricane going on right now, and yet there's still a line at Whataburger. #HurricaneHarvey https://t.co/7tyYVhyyr0",JustLikeFreddie,0,6799,0,0,,['HurricaneHarvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIQqG3WVYAAyUJC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIQqG3WVYAAyUJC?format=jpg&name=orig', altText=None)]",,,1
